,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
0,Ok,03-10-2023 15:29:00,1696327140,19524.20,19526.85,19520.55,19522.95,0.00,0,0,0,0
1,Ok,03-10-2023 15:28:00,1696327080,19528.65,19528.65,19521.15,19525.15,0.00,0,0,0,0
2,Ok,03-10-2023 15:27:00,1696327020,19528.55,19531.15,19526.50,19528.35,0.00,0,0,0,0
3,Ok,03-10-2023 15:26:00,1696326960,19523.95,19528.75,19521.60,19528.05,0.00,0,0,0,0
4,Ok,03-10-2023 15:25:00,1696326900,19517.15,19523.80,19516.50,19523.80,0.00,0,0,0,0
5,Ok,03-10-2023 15:24:00,1696326840,19518.60,19518.60,19514.90,19517.05,0.00,0,0,0,0
6,Ok,03-10-2023 15:23:00,1696326780,19524.55,19524.55,19518.05,19518.85,0.00,0,0,0,0
7,Ok,03-10-2023 15:22:00,1696326720,19528.20,19529.90,19523.70,19523.70,0.00,0,0,0,0
8,Ok,03-10-2023 15:21:00,1696326660,19528.20,19530.20,19527.40,19527.60,0.00,0,0,0,0
9,Ok,03-10-2023 15:20:00,1696326600,19531.75,19531.75,19524.30,19525.35,0.00,0,0,0,0
10,Ok,03-10-2023 15:19:00,1696326540,19529.65,19531.60,19528.80,19530.25,0.00,0,0,0,0
11,Ok,03-10-2023 15:18:00,1696326480,19527.85,19529.70,19525.95,19528.45,0.00,0,0,0,0
12,Ok,03-10-2023 15:17:00,1696326420,19530.60,19532.20,19527.00,19527.00,0.00,0,0,0,0
13,Ok,03-10-2023 15:16:00,1696326360,19530.85,19531.40,19528.35,19529.85,0.00,0,0,0,0
14,Ok,03-10-2023 15:15:00,1696326300,19529.70,19531.20,19526.25,19529.55,0.00,0,0,0,0
15,Ok,03-10-2023 15:14:00,1696326240,19528.60,19530.65,19527.85,19528.65,0.00,0,0,0,0
16,Ok,03-10-2023 15:13:00,1696326180,19531.30,19531.95,19528.35,19528.35,0.00,0,0,0,0
17,Ok,03-10-2023 15:12:00,1696326120,19526.80,19531.60,19525.45,19530.35,0.00,0,0,0,0
18,Ok,03-10-2023 15:11:00,1696326060,19529.00,19530.10,19525.90,19527.45,0.00,0,0,0,0
19,Ok,03-10-2023 15:10:00,1696326000,19530.60,19531.00,19527.70,19527.70,0.00,0,0,0,0
20,Ok,03-10-2023 15:09:00,1696325940,19530.85,19531.75,19529.60,19529.60,0.00,0,0,0,0
21,Ok,03-10-2023 15:08:00,1696325880,19531.45,19534.65,19530.90,19530.90,0.00,0,0,0,0
