Unnamed: 0,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,Supertrend Values,Supertrend Signal
375,Ok,2023-10-03 09:14:00,1696304640,19622.4,19622.4,19622.4,19622.4,0.0,0,0,0,0,0.0,1
374,Ok,2023-10-03 09:15:00,1696304700,19611.45,19611.45,19540.8,19543.6,0.0,0,0,0,0,,1
373,Ok,2023-10-03 09:16:00,1696304760,19543.45,19545.2,19531.7,19535.1,0.0,0,0,0,0,,1
372,Ok,2023-10-03 09:17:00,1696304820,19535.05,19540.5,19531.1,19534.0,0.0,0,0,0,0,,1
371,Ok,2023-10-03 09:18:00,1696304880,19535.5,19538.35,19531.35,19534.9,0.0,0,0,0,0,,1
370,Ok,2023-10-03 09:19:00,1696304940,19535.35,19538.75,19531.25,19534.25,0.0,0,0,0,0,,1
369,Ok,2023-10-03 09:20:00,1696305000,19532.95,19536.1,19529.5,19529.6,0.0,0,0,0,0,,1
368,Ok,2023-10-03 09:21:00,1696305060,19530.05,19540.4,19526.7,19539.2,0.0,0,0,0,0,,1
367,Ok,2023-10-03 09:22:00,1696305120,19538.8,19544.8,19532.85,19541.1,0.0,0,0,0,0,,1
366,Ok,2023-10-03 09:23:00,1696305180,19541.4,19542.7,19534.55,19535.65,0.0,0,0,0,0,,1
365,Ok,2023-10-03 09:24:00,1696305240,19533.8,19535.8,19527.9,19530.55,0.0,0,0,0,0,,1
364,Ok,2023-10-03 09:25:00,1696305300,19528.6,19529.45,19524.15,19526.2,0.0,0,0,0,0,,1
363,Ok,2023-10-03 09:26:00,1696305360,19525.0,19531.15,19522.05,19524.2,0.0,0,0,0,0,,1
362,Ok,2023-10-03 09:27:00,1696305420,19523.15,19533.65,19523.1,19532.05,0.0,0,0,0,0,,1
361,Ok,2023-10-03 09:28:00,1696305480,19533.2,19537.9,19531.95,19534.0,0.0,0,0,0,0,,1
360,Ok,2023-10-03 09:29:00,1696305540,19532.5,19534.6,19526.05,19530.8,0.0,0,0,0,0,,1
359,Ok,2023-10-03 09:30:00,1696305600,19530.25,19535.1,19528.85,19532.2,0.0,0,0,0,0,,1
358,Ok,2023-10-03 09:31:00,1696305660,19531.7,19533.25,19525.05,19530.95,0.0,0,0,0,0,,1
357,Ok,2023-10-03 09:32:00,1696305720,19530.85,19535.55,19527.85,19529.9,0.0,0,0,0,0,,1
356,Ok,2023-10-03 09:33:00,1696305780,19529.45,19531.3,19523.2,19526.2,0.0,0,0,0,0,,1
355,Ok,2023-10-03 09:34:00,1696305840,19524.8,19525.25,19516.65,19516.65,0.0,0,0,0,0,,1
354,Ok,2023-10-03 09:35:00,1696305900,19516.3,19516.35,19510.45,19512.95,0.0,0,0,0,0,19497.738121529066,1
353,Ok,2023-10-03 09:36:00,1696305960,19512.65,19518.85,19512.65,19518.5,0.0,0,0,0,0,19500.548421665073,1
352,Ok,2023-10-03 09:37:00,1696306020,19518.05,19518.25,19513.55,19517.3,0.0,0,0,0,0,19501.24749862047,1
351,Ok,2023-10-03 09:38:00,1696306080,19518.2,19518.2,19515.0,19516.55,0.0,0,0,0,0,19502.62751733441,1
350,Ok,2023-10-03 09:39:00,1696306140,19516.7,19517.8,19509.95,19509.95,0.0,0,0,0,0,19502.62751733441,1
349,Ok,2023-10-03 09:40:00,1696306200,19510.25,19510.25,19503.2,19503.6,0.0,0,0,0,0,19502.62751733441,1
348,Ok,2023-10-03 09:41:00,1696306260,19504.8,19509.35,19498.4,19509.15,0.0,0,0,0,0,19502.62751733441,1
347,Ok,2023-10-03 09:42:00,1696306320,19509.0,19510.2,19502.3,19510.2,0.0,0,0,0,0,19502.62751733441,1
346,Ok,2023-10-03 09:43:00,1696306380,19510.4,19516.8,19510.4,19515.35,0.0,0,0,0,0,19502.62751733441,1
345,Ok,2023-10-03 09:44:00,1696306440,19515.65,19531.3,19515.65,19525.65,0.0,0,0,0,0,19509.394068402577,1
344,Ok,2023-10-03 09:45:00,1696306500,19526.35,19526.45,19516.3,19516.3,0.0,0,0,0,0,19509.394068402577,1
343,Ok,2023-10-03 09:46:00,1696306560,19515.8,19519.0,19507.8,19516.7,0.0,0,0,0,0,19509.394068402577,1
342,Ok,2023-10-03 09:47:00,1696306620,19515.9,19515.9,19509.0,19509.0,0.0,0,0,0,0,19526.596180792272,-1
